"species","dim","repSeed","repVeg","repFlow","repPost","repDorm","surv.1","primitive","irreducible","ergodic","F0","C0","F0C0","survPlast","fecPlast","cloPlast","lambda","lambdaAway","R0","T","KeyfitzH1","KeyfitzH2","DemetriusH","lifespanFun","lifespanDoak","La","lifespanFunReprod","lifespanDoakReprod","rho","periodOscillation","react","firstStepAtt","maxAmp","maxAtt","inertiaUp","inertiaLow","inertiaTotal","KreissUp","KreissLow","KreissTotal","vSeed","vVeg","vFlow","vPost","vDorm","wSeed","wVeg","wFlow","wPost","wDorm","surv>1","prob1stReprod"
"Campanula_americana",3,NA,2,1,NA,NA,NA,TRUE,TRUE,TRUE,0,1,0,0.555555555555556,0.333333333333333,NA,3.16743023726064,2.16743023726064,5.1101108033241,1.41485985737564,0.591138059848083,0.420318791893081,NA,1.85547231803397,7,3.73944988438327,-1.8839775663493,3.26055011561673,1.12046057518837,NA,116.739587710633,0.052092702171935,116.739587710633,0.0222951870404883,63.8707713942402,0.0682447528633288,63.8025266413769,63.8707363944908,0.0682457446834557,63.8024906498073,0,0.0504777281224082,0.949522271877592,0,0,0,0.992606289401023,0.00739371059897751,0,0,0,0.0160692508710801
"Carapa_guianensis",29,NA,1,28,NA,NA,NA,TRUE,TRUE,TRUE,0,1,0,0.0677764565992866,0.0332936979785969,NA,1.00173421277836,0.00173421277835706,1.35610532687108,175.803640671167,1.00386129755529,0.74581085259639,3.18682913032441,105.497465956987,485,16.5482221501994,88.9492438067871,468.451777849801,1.02886106631883,137.646801100974,1.0171119853979,0.988808278048862,1.39036886386014,0.499283762361378,1.34811747278502,0.533133249462699,0.814984223322321,1.34811408760194,0.533144208974814,0.814969878627127,0,0.0155960553715484,0.984403944628452,0,0,0,0.169765622255093,0.830234377744907,0,0,0,0.852650773636776
"Carduus_nutans",4,1,NA,3,NA,NA,NA,TRUE,TRUE,TRUE,0,1,0,0.6875,0.3125,NA,0.638627376517358,0.361372623482642,0.175226215864481,3.88390927695285,0.305391196460361,0.305391196460361,NA,1.40860927564049,5,1,0.408609275640486,4,5.98472495548683,26.3584850994941,9.12994527700383,0.56751925665396,9.12994527700383,0.551454516932804,8.44821535564919,0.551454466332995,7.89676088931619,8.44820877968786,0.551454939923809,7.89675383976405,0.0442015485647053,0,0.955798451435295,0,0,0.645555317111596,0,0.354444682888404,0,0,0,1
"Carduus_nutans_2",4,1,NA,3,NA,NA,NA,TRUE,TRUE,TRUE,0,1,0,0.3125,0.375,NA,1.80428443996813,0.80428443996813,1.62836898651811,0.826175139700168,0.000644742546863609,NA,NA,1.0092171,2,1,0.00921709999999965,1,2.93417029857542,NA,156.662549284631,0.12353927965146,156.662549284631,0.12353927965146,108.60068896694,0.356997246991145,108.243691719949,108.600616115429,0.356997717041612,108.243618398388,0.00201899323726923,0,0.997981006762731,0,0,0.813132058351373,0,0.186867941648627,0,0,0,1
"Carex_aquatilis_ssp_stans",4,NA,4,NA,NA,NA,NA,FALSE,FALSE,FALSE,1,0,0,0.375,NA,0.125,0.914655335311484,0.0853446646885159,0.503827619245215,7.6845276804943,0.757736553582657,0.631900050150954,NA,6.4108703278657,21,1,5.4108703278657,20,2.44843001311668,31.5296702053396,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,0,0,0,1,0,0,0,0,0
"Carex_bigelowii",26,NA,9,17,NA,NA,NA,FALSE,FALSE,FALSE,0,1,0,0.0502958579881657,0.0680473372781065,NA,1.01524116807038,0.0152411680703779,0.373597353,65.0908635741527,0.455450390386053,NA,NA,3.111125608515,7,2,1.111125608515,5,1.79755307282353,10.2718459523085,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0.153017993094978,0.846982006905022,0,0,0,0.110327091893871,0.889672908106129,0,0,0,1
"Carex_humilis",4,NA,4,NA,NA,NA,NA,TRUE,TRUE,TRUE,1,0,0,0.625,NA,0.375,1.10187504600636,0.101875046006362,0.0617030569012774,28.7117472298713,0.653647913826227,0.653281991762777,NA,1.58866027791708,8,1,0.588660277917077,7,4.20228061477442,NA,2.32217800854456,0.260918877364557,2.91257260397379,0.136696790389052,2.91257412521449,0.136696535260447,2.77587758995404,2.91257143016146,0.136697556331153,2.77587387383031,0,1,0,0,0,0,1,0,0,0,0,0
"Carex_membranaceae",4,NA,4,NA,NA,NA,NA,FALSE,FALSE,FALSE,1,0,0,0.375,NA,0.125,0.975322818690173,0.0246771813098269,0.876401067569084,5.28005302797969,0.844817013759011,0.843092872180007,NA,4.04343407620686,15,1,3.04343407620686,14,2.87036110538862,11.4421481479731,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,0,0,0,1,0,0,0,0,0
"Carlina_vulgaris",3,NA,2,1,NA,NA,NA,TRUE,TRUE,TRUE,0,1,0,0.444444444444444,0.111111111111111,NA,0.691720200432174,0.308279799567826,0.136,5.41302913907073,0.465527549093977,0.465376901229764,NA,4.60562503445123,11,4.60562503445123,-8.88178419700125e-16,6.39437496554877,2.80912930474334,5.41250506685454,1.44567124015638,0.196611288661268,2.21630877109318,0.196611288661268,2.14298430194405,0.421334905186089,1.72164939675797,2.14298250012477,0.421335129593042,1.72164737053173,0,0.87817264535356,0.12182735464644,0,0,0,0.643194676426126,0.356805323573874,0,0,0,1
"Carnegiea_gigantea",15,1,4,10,NA,NA,NA,TRUE,TRUE,TRUE,0,1,0,0.124444444444444,0.0888888888888889,NA,0.540559412297702,0.459440587702298,1.06787201006373e-10,37.3244833038371,0.759068155030643,0.759068154668817,7.3418130328002e-06,2.17485922567531,9,1,1.17485922567531,8,1.01359434475258,772.447491941945,837281.749017834,0.0075847351960306,837281.749017835,0.00688938138650293,463904.609449261,0.00692642134087318,463904.602522839,715491.199727746,NA,NA,3.57288877537403e-09,0.00416991231163017,0.995830084115481,0,0,0.0798070299712446,0.92019287431942,9.57093354034757e-08,0,0,0,2.71445299367795e-14
